"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","467","TC-LP-004: Verify login for locked out user","firefox","2026-08-13","passed","2026-08-13","Locked out user","login.spec.ts","",""
"","497","TC-LP-023: Verify case sensitivity of login","firefox","2026-08-13","passed","2026-08-13","Performance Glitch User","login.spec.ts","",""
"","366","TC-LP-044: Check whether password is marked","firefox","2026-08-13","passed","2026-08-13","Other conditions","login.spec.ts","",""
"","5689","TC-LP-006: Verify login with performance glitch user","firefox","2026-08-13","passed","2026-08-13","Performance Glitch User","login.spec.ts","",""
"","507","TC-LP-008: Verify login with visual user","firefox","2026-08-13","passed","2026-08-13","Visual User","login.spec.ts","",""
"","561","TC-LP-021: Verify case sensitivity of login","firefox","2026-08-13","passed","2026-08-13","Locked out user","login.spec.ts","",""
"","1515","TC-LP-003: Verify logout functionality","firefox","2026-08-13","passed","2026-08-13","Standard User","login.spec.ts","",""
"","540","TC-LP-009: Verify login with incorrect password","firefox","2026-08-13","passed","2026-08-13","Locked out user","login.spec.ts","",""
"","1535","TC-LP-001: Verify login with valid credentials","firefox","2026-08-13","passed","2026-08-13","Standard User","login.spec.ts","",""
"","464","TC-LP-013: Verify login with incorrect password","firefox","2026-08-13","passed","2026-08-13","Visual User","login.spec.ts","",""
"","546","TC-LP-010: Verify login with incorrect password","firefox","2026-08-13","passed","2026-08-13","Performance Glitch User","login.spec.ts","",""
"","454","TC-LP-014: Verify login without entering credentials","firefox","2026-08-13","passed","2026-08-13","Standard User","login.spec.ts","",""
"","471","TC-LP-025: Verify case sensitivity of login","firefox","2026-08-13","passed","2026-08-13","Visual User","login.spec.ts","",""
"","463","TC-LP-026: Verify login with incorrect password","firefox","2026-08-13","passed","2026-08-13","Standard User","login.spec.ts","",""
"","503","TC-LP-002: Verify login with incorrect password","firefox","2026-08-13","passed","2026-08-13","Standard User","login.spec.ts","",""
"","488","TC-LP-020: Verify case sensitivity of login","firefox","2026-08-13","passed","2026-08-13","Standard User","login.spec.ts","",""
